Título,EVOLUCIÓN DE LA GENERACIÓN RENOVABLE Y NO RENOVABLE_01-01-2017_31-12-2017,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017
Renovable,"7879,8201095","7774,075741000001","8826,3434165","7761,456327999999","7228,467063","6859,96392","6730,722695500001","6337,170104000001","5793,5958235","5454,184429","5962,454777","8002,61208"
No renovable,"17424,5569425","13219,242545","12316,2196925","11654,056801","13004,851106","15227,773592","16067,872239499999","15362,101812","14453,540451500001","15943,912252","16731,665786","16289,098412000001"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,"Energía renovable: incluye hidráulica, hidroeólica, eólica, solar fotovoltaica, solar térmica, otras renovables y residuos renovables.",,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Definitivo: 01/01/2017 - 31/12/2017,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,13/03/2024 - 15:01:19,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
