fecha,renovable,no renovable
01/2013,10308.8670155,14488.7768555
02/2013,10036.405324,12803.546494
03/2013,11444.206144,12339.782271
04/2013,11269.745362500002,10592.9629615
05/2013,9563.0300315,11604.5366135
06/2013,9037.9679475,12010.1454285
07/2013,7761.51735,16579.043442
08/2013,7573.3146005,15203.726544500001
09/2013,6715.856032,15248.268344
10/2013,7196.317752,14781.559223999999
11/2013,10391.3498695,12426.6431305
12/2013,8459.080214500002,15449.593977499999
01/2014,11719.909124,12313.356699
02/2014,12548.2904985,9983.8200755
03/2014,11848.925267,10942.662611
04/2014,10510.17242,10521.402616000001
05/2014,9049.834512,12260.219815
06/2014,7776.175656,13623.327991
07/2014,8159.9086394999995,15022.9847885
08/2014,7114.8688185,14894.923547499999
09/2014,5421.0933159999995,16720.592772
10/2014,6333.6478154999995,15293.2428485
11/2014,8369.352435499999,12805.763360500001
12/2014,9023.955197000001,14253.317699
01/2015,8571.0944065,16020.8881835
02/2015,10541.896157,12641.704576
03/2015,10228.6801755,12969.4395415
04/2015,7995.0760745,12620.8904945
05/2015,9767.2497605,11447.6046435
06/2015,7386.2828295,14350.7723235
07/2015,7380.892277,17917.72645
08/2015,6760.317499,16114.977653000002
09/2015,6213.939694,15049.749387
10/2015,6668.3680564999995,14229.0753105
11/2015,6756.277934000001,14191.958001
12/2015,5818.0380935,15810.9496365
01/2016,9828.5444965,12854.409826500001
02/2016,11092.3260115,10574.0831885
03/2016,11231.337806,11813.717098
04/2016,11066.519303500001,10660.7408515
05/2016,10657.384874,9949.104228
06/2016,8324.240595,12293.814233
07/2016,7927.953427,14939.493462999999
08/2016,7804.022389000001,14229.525732
09/2016,6114.074368,15050.360505999999
10/2016,5271.8756865,16484.0256915
11/2016,6352.0508705,15413.3107655
12/2016,5418.839357,16483.936733
01/2017,7879.8201095,17424.5569425
02/2017,7774.075741000001,13219.242545
03/2017,8826.3434165,12316.2196925
04/2017,7761.456327999999,11654.056801
05/2017,7228.467063,13004.851106
06/2017,6859.96392,15227.773592
07/2017,6730.722695500001,16067.872239499999
08/2017,6337.170104000001,15362.101812
09/2017,5793.5958235,14453.540451500001
10/2017,5454.184429,15943.912252
11/2017,5962.454777,16731.665786
12/2017,8002.61208,16289.098412000001
01/2018,8476.2480385,14399.209059499999
02/2018,8180.7367110000005,13664.949606
03/2018,13305.1824235,11003.4742555
04/2018,10525.788226,10239.761426000001
05/2018,8462.826484,11690.376471000001
06/2018,8094.921509,11737.892691
07/2018,7805.394053,14020.584687999999
08/2018,7175.7876875,15158.9610585
09/2018,5974.207468500001,15072.7700685
10/2018,7028.787133000001,15076.785120999999
11/2018,7539.261122000001,14690.996892000001
12/2018,7775.264357,13881.735488
01/2019,9207.1734095,15381.3826285
02/2019,7431.8106885,13141.0682005
03/2019,8735.798329,12140.124408
04/2019,8027.423091,11787.148815999999
05/2019,8629.058215,11980.145199999999
06/2019,6988.435091,13804.443566
07/2019,7160.620779,16485.497781
08/2019,6310.456933,16165.281864
09/2019,6818.9112724999995,14569.3022555
10/2019,6420.1371005,14634.069045499999
11/2019,11103.335433499999,11541.9914235
12/2019,11080.138477499999,11285.0825505
01/2020,9468.207515,13275.074535
02/2020,8722.709130000001,11615.083929999999
03/2020,10428.986065,10604.213281
04/2020,8286.387639499999,9221.7960755
05/2020,9439.573943,8551.381783
06/2020,8542.8081025,10760.7140965
07/2020,9183.3188005,14765.1270835
08/2020,8577.251164000001,13986.809220000001
09/2020,8110.877801,13235.020292
10/2020,9822.2523785,11129.7688825
11/2020,8071.5086215,11832.5570425
12/2020,11951.317182499999,11816.0054935
01/2021,12561.066857000002,11744.408093
02/2021,12359.937817,8774.451967
03/2021,11799.986558,10297.202828
04/2021,9240.646799,10659.717630000001
05/2021,10433.361657,10038.119418
06/2021,9287.872546499999,10575.9194245
07/2021,10377.7894405,12058.9791675
08/2021,9182.780587500001,12402.4552265
09/2021,7472.1184275000005,13216.749793500001
10/2021,7991.904017,12642.737893
11/2021,9657.3198605,13360.3785605
12/2021,11094.3617425,12780.9191355
01/2022,9750.044556,14552.290625
02/2022,8238.462641,12882.262385
03/2022,10388.479622500001,12381.2408865
04/2022,10958.349461,10814.174853
05/2022,11064.9944845,10993.4941225
06/2022,9257.173325,13999.748710999998
07/2022,10159.2110035,16265.847512499999
08/2022,9548.124888499999,15737.7680965
09/2022,8886.428786,14779.781638
10/2022,8453.289591,13503.353007
11/2022,10074.1752865,11448.4490825
12/2022,9916.4771215,12314.295081499999
01/2023,13541.966835000001,10316.041525
02/2023,9899.8679255,11842.3119665
03/2023,12623.128455,11363.922767999999
04/2023,11168.685127,10294.879431
05/2023,11600.013321,9912.367285
06/2023,9787.238249,11496.792792999999
07/2023,10890.1255725,12757.7127745
08/2023,10828.217027499999,12701.768216499999
09/2023,8648.920129,12109.089136
10/2023,10404.9825535,10476.0484135
11/2023,12854.069406999999,8725.894785
12/2023,12073.799615,10488.940436
